Team,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS,year,year_W,League,Wins,Losses,Win_Pct,Home_Wins,Home_Losses,Away_Wins,Away_Losses,Home_WinDiff,Away_WinDiff,Total_WinDiff,Age_ERA,G_ERA,GS,CG,SHO,IP,H_ERA,ER,K,BB_ERA,HR_ERA,W,L,SV,BS,HLD,ERA,WHIP,year_ERA
ARI,27.823529411764707,41.64705882352941,135.52941176470588,20.294117647058822,34.529411764705884,7.411764705882353,0.8235294117647058,5.764705882352941,19.88235294117647,3.1176470588235294,0.8823529411764706,14.764705882352942,30.41176470588235,0.7058823529411765,1.4705882352941178,1.7647058823529411,0.21294117647058824,0.292764705882353,0.35905882352941176,0.6518235294117647,2025,2025.0,National League,34.0,34.0,0.5,18.0,17.0,16.0,17.0,1.0,-1.0,0.0,29.166666666666668,23.2,5.4,0.0,0.0,47.78,48.8,24.666666666666668,43.766666666666666,16.0,6.0,2.966666666666667,2.433333333333333,1.2666666666666666,0.8333333333333334,2.8333333333333335,6.658,1.6563333333333332,2025.0
ATL,28.736842105263158,36.31578947368421,119.89473684210526,14.368421052631579,29.210526315789473,4.947368421052632,0.3157894736842105,3.8421052631578947,13.842105263157896,1.894736842105263,0.631578947368421,12.105263157894736,30.526315789473685,0.3684210526315789,0.631578947368421,1.1578947368421053,0.2054736842105263,0.27321052631578946,0.3157368421052632,0.5889473684210526,2025,2025.0,National League,29.0,38.0,0.433,17.0,14.0,12.0,24.0,3.0,-12.0,-9.0,30.607142857142858,22.821428571428573,5.785714285714286,0.07142857142857142,0.03571428571428571,51.11071428571428,45.32142857142857,19.75,55.464285714285715,15.964285714285714,5.321428571428571,3.1785714285714284,2.607142857142857,1.4285714285714286,0.7857142857142857,2.357142857142857,5.466428571428572,1.4635714285714287,2025.0
BAL,27.476190476190474,32.523809523809526,106.33333333333333,12.380952380952381,25.38095238095238,4.666666666666667,0.42857142857142855,3.5238095238095237,11.523809523809524,2.380952380952381,0.6190476190476191,9.095238095238095,28.142857142857142,0.09523809523809523,1.0,1.380952380952381,0.1838095238095238,0.24133333333333334,0.2976190476190476,0.538952380952381,2025,2025.0,American League,27.0,40.0,0.403,13.0,19.0,14.0,21.0,-6.0,-7.0,-13.0,30.25,22.0625,5.0625,0.0,0.0,44.746875,40.625,19.59375,43.125,14.90625,5.4375,2.84375,2.21875,1.4375,0.65625,3.5,4.6528125,1.27125,2025.0
BOS,26.88888888888889,39.72222222222222,135.77777777777777,19.166666666666668,34.611111111111114,7.555555555555555,0.5,4.888888888888889,18.38888888888889,3.388888888888889,0.7777777777777778,13.38888888888889,36.111111111111114,0.2777777777777778,0.7777777777777778,1.8333333333333333,0.23594444444444443,0.3045555555555556,0.39105555555555555,0.6956111111111111,2025,2025.0,American League,34.0,36.0,0.486,19.0,17.0,15.0,19.0,2.0,-4.0,-2.0,30.65625,21.625,5.0625,0.03125,0.03125,45.015625,42.5,20.4375,42.28125,14.34375,5.90625,2.53125,2.53125,1.25,0.84375,2.625,5.36125,1.421875,2025.0
CHC,28.470588235294116,40.88235294117647,141.0,22.294117647058822,36.1764705882353,7.411764705882353,0.8823529411764706,5.647058823529412,21.823529411764707,4.9411764705882355,0.8823529411764706,14.529411764705882,32.294117647058826,0.35294117647058826,1.2941176470588236,1.0,0.23441176470588235,0.30317647058823527,0.38111764705882356,0.6842941176470587,2025,2025.0,National League,42.0,27.0,0.609,21.0,11.0,21.0,16.0,10.0,5.0,15.0,29.454545454545453,19.848484848484848,4.909090909090909,0.030303030303030304,0.0,43.1030303030303,39.18181818181818,18.09090909090909,40.84848484848485,14.636363636363637,5.484848484848484,2.515151515151515,2.393939393939394,1.1515151515151516,0.8181818181818182,2.3333333333333335,3.8821212121212127,1.3227272727272728,2025.0
CIN,27.714285714285715,33.476190476190474,110.04761904761905,14.80952380952381,26.952380952380953,5.428571428571429,0.3333333333333333,3.5714285714285716,14.238095238095237,2.8095238095238093,1.0,11.428571428571429,28.952380952380953,0.2857142857142857,0.7142857142857143,1.0476190476190477,0.22733333333333333,0.29823809523809525,0.38057142857142856,0.6788095238095238,2025,2025.0,National League,35.0,34.0,0.507,18.0,16.0,17.0,18.0,2.0,-1.0,1.0,30.193548387096776,22.35483870967742,5.225806451612903,0.03225806451612903,0.0,45.71290322580645,41.806451612903224,20.741935483870968,44.193548387096776,15.709677419354838,6.290322580645161,2.4838709677419355,2.7419354838709675,1.1612903225806452,0.4838709677419355,2.4838709677419355,5.160645161290322,1.4851612903225806,2025.0
CLE,27.5,39.166666666666664,121.38888888888889,14.722222222222221,28.444444444444443,5.166666666666667,0.3333333333333333,3.8333333333333335,13.944444444444445,3.0,0.8888888888888888,11.833333333333334,30.38888888888889,0.5,1.3333333333333333,1.5,0.20466666666666666,0.2791666666666667,0.31827777777777777,0.5974444444444444,2025,2025.0,American League,35.0,32.0,0.522,19.0,15.0,16.0,17.0,4.0,-1.0,3.0,29.06896551724138,25.96551724137931,5.551724137931035,0.0,0.0,48.90689655172414,42.206896551724135,19.724137931034484,48.62068965517241,16.93103448275862,6.172413793103448,3.1724137931034484,2.3793103448275863,1.8275862068965518,0.5517241379310345,4.068965517241379,3.736551724137931,1.2906896551724139,2025.0
COL,27.916666666666668,29.791666666666668,94.125,9.333333333333334,20.958333333333332,4.5,0.9166666666666666,2.4583333333333335,9.208333333333334,1.3333333333333333,0.6666666666666666,7.75,27.0,0.2916666666666667,0.5833333333333334,0.875,0.20695833333333333,0.2670416666666667,0.33025,0.5972916666666667,2025,2025.0,National League,13.0,55.0,0.191,7.0,27.0,6.0,28.0,-20.0,-22.0,-42.0,28.78787878787879,19.90909090909091,4.909090909090909,0.0,0.0,43.00606060606061,48.60606060606061,26.333333333333332,33.878787878787875,17.060606060606062,6.696969696969697,1.8484848484848484,3.0606060606060606,1.121212121212121,0.8484848484848485,1.878787878787879,9.792121212121211,2.18060606060606,2025.0
CWS,27.84,30.56,89.84,9.68,20.0,4.24,0.16,2.16,9.28,1.96,0.56,9.16,23.68,0.4,0.72,0.56,0.20096,0.27464,0.29919999999999997,0.57384,2025,2025.0,American League,23.0,46.0,0.333,16.0,18.0,7.0,28.0,-2.0,-21.0,-23.0,28.61764705882353,20.5,4.764705882352941,0.0,0.0,41.550000000000004,41.029411764705884,21.676470588235293,40.1764705882353,18.91176470588235,5.911764705882353,1.2058823529411764,3.5588235294117645,0.6176470588235294,1.0588235294117647,1.911764705882353,5.054411764705883,1.6123529411764705,2025.0
DET,27.227272727272727,34.18181818181818,107.72727272727273,15.227272727272727,26.954545454545453,4.863636363636363,0.5909090909090909,3.590909090909091,14.590909090909092,1.1363636363636365,0.2727272727272727,10.136363636363637,28.272727272727273,0.18181818181818182,0.7727272727272727,1.2272727272727273,0.2601818181818182,0.3234090909090909,0.38727272727272727,0.7106818181818182,2025,2025.0,American League,45.0,25.0,0.643,23.0,9.0,22.0,16.0,14.0,6.0,20.0,28.16,26.52,6.48,0.04,0.04,57.576,50.56,23.24,54.16,16.6,6.32,3.44,3.04,1.8,1.04,3.0,3.4339999999999997,1.1328,2025.0
