Player,Team,Pos,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS
Jarren Duran,BOS,OF,28,69,299,38,81,18,7,5,38,14,5,20,76,0,2,5,.271,.325,.428,.753
Jackson Chourio,MIL,OF,21,69,296,41,76,18,2,12,41,13,5,10,63,0,1,1,.257,.282,.453,.735
Bo Bichette,TOR,SS,27,68,287,31,79,17,1,8,40,4,3,18,50,0,2,2,.275,.320,.425,.745
Brent Rooker,ATH,DH,30,70,279,44,77,15,1,15,41,2,1,26,64,0,0,2,.276,.342,.498,.840
Austin Riley,ATL,3B,28,67,275,38,77,13,0,11,35,2,1,19,83,0,0,3,.280,.333,.447,.780
Trea Turner,PHI,SS,31,66,271,47,82,14,2,7,30,19,5,21,50,0,1,4,.303,.360,.446,.806
Julio Rodriguez,SEA,OF,24,66,271,42,71,8,3,10,34,11,3,20,59,0,0,5,.262,.324,.424,.748
Pete Crow-Armstrong,CHC,OF,23,68,269,51,73,16,3,18,57,21,3,13,72,3,2,1,.271,.305,.554,.859
Bobby Witt,KC,SS,24,69,269,35,76,22,3,8,37,21,5,23,57,0,5,3,.283,.340,.476,.816
Corbin Carroll,ARI,OF,24,67,269,53,70,12,8,19,43,10,4,26,71,0,0,6,.260,.339,.576,.915
Francisco Lindor,NYM,SS,31,67,269,44,75,12,0,14,38,13,2,24,53,0,5,8,.279,.350,.480,.830
Shohei Ohtani,LAD,DH,30,67,269,68,78,11,5,23,39,11,4,41,77,0,2,1,.290,.383,.625,1.008
Lawrence Butler,ATH,OF,24,66,266,41,69,22,1,9,29,10,2,26,80,0,0,0,.259,.325,.451,.776
Vinnie Pasquantino,KC,1B,27,68,265,28,74,7,1,10,38,0,0,18,47,0,1,4,.279,.333,.426,.759
Dansby Swanson,CHC,SS,31,69,265,39,64,10,1,12,35,7,2,21,80,1,4,0,.242,.293,.423,.716
Jeremy Pena,HOU,SS,27,68,262,38,85,14,1,9,33,14,1,16,42,1,2,8,.324,.378,.489,.867
Bryan Reynolds,PIT,OF,30,67,262,23,60,9,2,8,39,3,2,28,77,0,3,2,.229,.305,.370,.675
Tyler Soderstrom,ATH,1B,23,70,262,36,68,11,1,14,44,3,0,29,73,0,1,4,.260,.341,.469,.810
Elly De La Cruz,CIN,SS,23,69,261,50,68,13,0,13,44,20,6,31,80,0,1,2,.261,.342,.460,.802
Lars Nootbaar,STL,OF,27,66,261,39,60,12,0,8,28,4,3,39,64,0,2,3,.230,.334,.368,.702
Rafael Devers,BOS,3B,28,70,261,46,72,18,0,14,57,1,1,54,73,0,2,4,.276,.405,.506,.911
Riley Greene,DET,OF,24,68,260,33,72,15,0,13,44,1,1,21,89,0,0,1,.277,.333,.485,.818
Seiya Suzuki,CHC,OF,30,65,259,37,69,18,2,17,57,2,2,25,76,0,5,0,.266,.325,.548,.873
Nick Castellanos,PHI,OF,33,68,258,29,74,17,1,6,32,2,0,14,53,0,4,3,.287,.326,.430,.756
Ozzie Albies,ATL,2B,28,67,258,32,60,9,0,6,25,6,1,27,46,0,1,2,.233,.309,.337,.646
Pete Alonso,NYM,1B,30,69,258,41,77,21,1,17,63,0,2,35,63,0,3,9,.298,.397,.585,.982
Heliot Ramos,SF,OF,25,67,258,44,76,13,1,11,36,5,3,25,68,0,4,6,.295,.365,.481,.846
Nathaniel Lowe,WSH,1B,29,68,258,26,59,11,0,9,42,1,0,23,76,0,1,1,.229,.293,.376,.669
Michael Harris,ATL,OF,24,67,257,15,60,10,2,5,38,10,3,10,56,3,4,1,.233,.261,.346,.607
Salvador Perez,KC,C,35,65,257,15,60,16,0,6,33,0,0,11,60,0,1,2,.233,.269,.366,.635
Trevor Story,BOS,SS,32,66,257,29,59,5,0,9,34,10,0,13,82,1,0,3,.230,.275,.354,.629
Kyle Tucker,CHC,OF,28,68,256,48,70,12,4,13,43,17,1,46,43,0,2,2,.273,.386,.504,.890
James Wood,WSH,OF,22,68,256,39,72,16,0,16,45,9,3,38,81,0,2,1,.281,.374,.531,.905
Jung Hoo Lee,SF,OF,26,67,255,41,70,17,4,6,32,6,1,22,33,0,3,2,.275,.333,.443,.776
Taylor Ward,LAA,OF,31,66,255,38,52,12,1,18,46,1,1,20,78,0,5,1,.204,.260,.471,.731
Willy Adames,SF,SS,29,68,255,36,52,11,1,7,31,3,2,32,78,0,5,1,.204,.290,.337,.627
Jose Altuve,HOU,2B,35,65,255,32,70,9,0,9,27,6,3,19,45,0,3,0,.275,.321,.416,.737
Yandy Diaz,TB,1B,33,63,254,28,65,13,0,10,39,3,0,19,40,0,3,1,.256,.307,.425,.732
Alec Bohm,PHI,3B,28,65,254,27,72,9,1,6,28,2,0,11,41,0,2,3,.283,.319,.398,.717
Jacob Wilson,ATH,SS,23,64,254,36,93,15,0,8,38,5,0,14,16,1,1,2,.366,.402,.520,.922
Nico Hoerner,CHC,2B,28,65,253,38,72,16,1,0,29,13,3,15,20,0,2,3,.285,.330,.356,.686
Manny Machado,SD,3B,32,67,253,47,81,18,0,10,39,8,2,26,45,0,2,0,.320,.381,.510,.891
Josh Naylor,ARI,1B,27,66,252,33,76,16,1,8,45,9,2,22,35,0,2,1,.302,.357,.468,.825
Vladimir Guerrero,TOR,1B,26,67,252,41,70,12,0,8,30,2,1,39,41,0,2,4,.278,.380,.421,.801
Isaac Paredes,HOU,3B,26,67,251,37,64,9,1,15,42,0,1,36,50,0,2,3,.255,.353,.478,.831
Fernando Tatis,SD,OF,26,65,251,46,65,8,1,13,28,14,2,30,52,0,1,2,.259,.342,.454,.796
Aaron Judge,NYY,OF,33,67,250,64,98,17,2,25,59,6,3,45,69,0,1,3,.392,.488,.776,1.264
Paul Goldschmidt,NYY,1B,37,67,249,42,78,13,1,7,31,5,0,22,48,0,1,2,.313,.372,.458,.830
Eugenio Suarez,ARI,3B,33,68,249,41,58,13,0,19,52,1,0,20,72,0,3,7,.233,.305,.514,.819
Trevor Larnach,MIN,OF,28,66,249,36,63,9,1,10,32,2,2,22,59,0,2,2,.253,.316,.418,.734
Steven Kwan,CLE,OF,27,64,249,31,76,14,0,5,22,9,1,23,23,1,2,3,.305,.368,.422,.790
Brice Turang,MIL,2B,25,67,249,44,66,8,0,4,26,15,4,33,62,1,3,1,.265,.350,.345,.695
Junior Caminero,TB,3B,21,64,249,37,62,15,0,15,41,5,0,13,49,0,3,1,.249,.286,.490,.776
Brendan Donovan,STL,2B,28,64,248,35,77,20,0,4,26,3,1,22,37,1,1,6,.310,.379,.440,.819
TJ Friedl,CIN,OF,29,65,248,41,73,11,2,7,25,9,3,34,46,2,2,3,.294,.383,.440,.823
Christian Walker,HOU,1B,34,66,248,26,54,9,1,9,33,0,0,17,75,0,2,5,.218,.279,.371,.650
Kyle Schwarber,PHI,DH,32,68,248,48,61,9,1,21,47,5,1,48,78,0,0,4,.246,.377,.544,.921
Matt Olson,ATL,1B,31,67,248,38,59,15,0,14,39,0,0,40,68,0,2,2,.238,.346,.468,.814
Ian Happ,CHC,OF,30,60,247,43,62,14,0,7,29,3,1,33,64,0,2,1,.251,.339,.393,.732
Hunter Goodman,COL,C,25,66,247,33,71,16,3,11,39,1,2,14,67,0,1,3,.287,.332,.510,.842
Andy Pages,LAD,OF,24,65,246,31,70,10,1,12,40,6,2,13,49,0,1,3,.285,.327,.480,.807
Maikel Garcia,KC,3B,25,67,245,29,74,16,2,7,31,13,7,25,38,1,2,1,.302,.366,.469,.835
Luis Arraez,SD,1B,28,61,245,31,68,15,3,3,25,3,1,13,5,4,3,1,.278,.313,.400,.713
Juan Soto,NYM,OF,26,68,245,50,62,14,0,13,35,8,0,56,50,0,4,1,.253,.389,.469,.858
Cal Raleigh,SEA,C,28,66,245,44,65,11,0,26,53,7,2,39,76,0,1,3,.265,.372,.629,1.001
Jose Ramirez,CLE,3B,32,65,245,42,81,15,1,12,33,20,4,24,29,0,4,3,.331,.391,.547,.938
Willson Contreras,STL,C,33,65,245,32,63,15,0,8,43,2,0,21,66,1,1,9,.257,.337,.416,.753
Christian Yelich,MIL,OF,33,65,244,34,58,5,0,13,41,10,2,28,74,0,1,3,.238,.322,.418,.740
Lourdes Gurriel,ARI,OF,31,63,244,24,62,13,1,10,37,4,1,16,38,0,5,2,.254,.300,.439,.739
