year,League,Team,Wins,Losses,Win_Pct,Home_Record,Away_Record
2025,American League,NYY,42,25,0.627,21--12,21--13
2025,American League,TOR,38,30,0.559,22--13,16--17
2025,American League,TB,36,32,0.529,23--20,13--12
2025,American League,BOS,34,36,0.486,19--17,15--19
2025,American League,BAL,27,40,0.403,13--19,14--21
2025,American League,DET,45,25,0.643,23--9,22--16
2025,American League,MIN,36,32,0.529,20--12,16--20
2025,American League,CLE,35,32,0.522,19--15,16--17
2025,American League,KC,34,35,0.493,19--16,15--19
2025,American League,CWS,23,46,0.333,16--18,7--28
2025,American League,HOU,38,30,0.559,24--13,14--17
2025,American League,LAA,33,34,0.493,15--16,18--18
2025,American League,SEA,33,34,0.493,16--17,17--17
2025,American League,TEX,33,36,0.478,20--13,13--23
2025,American League,OAK,26,44,0.371,12--23,14--21
2025,National League,NYM,45,24,0.652,27--7,18--17
2025,National League,PHI,39,29,0.574,21--13,18--16
2025,National League,WSH,30,38,0.441,15--18,15--20
2025,National League,ATL,29,38,0.433,17--14,12--24
2025,National League,MIA,25,41,0.379,14--20,11--21
2025,National League,CHC,42,27,0.609,21--11,21--16
2025,National League,MIL,37,33,0.529,21--14,16--19
2025,National League,STL,36,33,0.522,22--14,14--19
2025,National League,CIN,35,34,0.507,18--16,17--18
2025,National League,PIT,28,42,0.4,19--19,9--23
2025,National League,LAD,41,28,0.594,23--11,18--17
2025,National League,SF,40,29,0.58,22--11,18--18
2025,National League,SD,38,29,0.567,21--12,17--17
2025,National League,ARI,34,34,0.5,18--17,16--17
2025,National League,COL,13,55,0.191,7--27,6--28
