Year,League,Team,Wins,Losses,Win_Pct,Home_Record,Away_Record
2016,American League,Baltimore Orioles,89,73,0.549,47-34,42-39
2016,American League,Boston Red Sox,93,69,0.574,48-33,45-36
2016,American League,New York Yankees,84,78,0.519,44-37,40-41
2016,American League,Tampa Bay Rays,68,94,0.42,37-44,31-50
2016,American League,Toronto Blue Jays,89,73,0.549,46-35,43-38
2016,American League,Chicago White Sox,78,84,0.481,45-36,33-48
2016,American League,Cleveland Indians,94,67,0.584,53-28,41-39
2016,American League,Detroit Tigers,86,75,0.534,45-35,41-40
2016,American League,Kansas City Royals,81,81,0.5,47-34,34-47
2016,American League,Minnesota Twins,59,103,0.364,30-51,29-52
2016,American League,Houston Astros,84,78,0.519,45-36,39-42
2016,American League,Los Angeles Angels,74,88,0.457,37-44,37-44
2016,American League,Oakland Athletics,69,93,0.426,35-46,34-47
2016,American League,Seattle Mariners,86,76,0.531,44-37,42-39
2016,American League,Texas Rangers,95,67,0.586,53-28,42-39
2016,National League,Atlanta Braves,68,93,0.422,37-43,31-50
2016,National League,Miami Marlins,79,82,0.491,42-39,37-43
2016,National League,New York Mets,87,75,0.537,44-37,43-38
2016,National League,Philadelphia Phillies,71,91,0.438,37-44,34-47
2016,National League,Washington Nationals,95,67,0.586,49-32,46-35
2016,National League,Chicago Cubs,103,58,0.64,57-24,46-34
2016,National League,Cincinnati Reds,68,94,0.42,38-43,30-51
2016,National League,Milwaukee Brewers,73,89,0.451,41-40,32-49
2016,National League,Pittsburgh Pirates,78,83,0.484,38-42,40-41
2016,National League,St. Louis Cardinals,86,76,0.531,38-43,48-33
2016,National League,Arizona Diamondbacks,69,93,0.426,39-42,30-51
2016,National League,Colorado Rockies,75,87,0.463,46-35,29-52
2016,National League,Los Angeles Dodgers,91,71,0.562,53-28,38-43
2016,National League,San Diego Padres,68,94,0.42,35-46,33-48
2016,National League,San Francisco Giants,87,75,0.537,45-36,42-39
