Year,League,Team,Wins,Losses,Win_Pct,Home_Record,Away_Record
2023,American League,Baltimore Orioles,101,61,0.623,49-32,52-29
2023,American League,Boston Red Sox,78,84,0.481,39-42,39-42
2023,American League,New York Yankees,82,80,0.506,42-39,40-41
2023,American League,Tampa Bay Rays,99,63,0.611,53-28,46-35
2023,American League,Toronto Blue Jays,89,73,0.549,43-38,46-35
2023,American League,Chicago White Sox,61,101,0.377,30-51,31-50
2023,American League,Cleveland Guardians,76,86,0.469,40-41,36-45
2023,American League,Detroit Tigers,78,84,0.481,43-38,35-46
2023,American League,Kansas City Royals,56,106,0.346,34-47,22-59
2023,American League,Minnesota Twins,87,75,0.537,46-35,41-40
2023,American League,Houston Astros,90,72,0.556,46-35,44-37
2023,American League,Los Angeles Angels,73,89,0.451,38-43,35-46
2023,American League,Oakland Athletics,50,112,0.309,28-53,22-59
2023,American League,Seattle Mariners,88,74,0.543,44-37,44-37
2023,American League,Texas Rangers,90,72,0.556,50-31,40-41
2023,National League,Atlanta Braves,104,58,0.642,52-29,52-29
2023,National League,Miami Marlins,84,78,0.519,46-35,38-43
2023,National League,New York Mets,74,87,0.46,38-43,36-44
2023,National League,Philadelphia Phillies,90,72,0.556,47-34,43-38
2023,National League,Washington Nationals,71,91,0.438,35-46,36-45
2023,National League,Chicago Cubs,83,79,0.512,44-37,39-42
2023,National League,Cincinnati Reds,82,80,0.506,44-37,38-43
2023,National League,Milwaukee Brewers,92,70,0.568,51-30,41-40
2023,National League,Pittsburgh Pirates,76,86,0.469,39-42,37-44
2023,National League,St. Louis Cardinals,71,91,0.438,44-37,27-54
2023,National League,Arizona Diamondbacks,84,78,0.519,43-38,41-40
2023,National League,Colorado Rockies,59,103,0.364,37-44,22-59
2023,National League,Los Angeles Dodgers,100,62,0.617,53-28,47-34
2023,National League,San Diego Padres,82,80,0.506,43-38,39-42
2023,National League,San Francisco Giants,79,83,0.488,41-40,38-43
